filename,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,mfcc_var_1,mfcc_var_2,mfcc_var_3,mfcc_var_4,mfcc_var_5,mfcc_var_6,mfcc_var_7,mfcc_var_8,mfcc_var_9,mfcc_var_10,mfcc_var_11,mfcc_var_12,mfcc_var_13,mfcc_var_14,mfcc_var_15,mfcc_var_16,mfcc_var_17,mfcc_var_18,mfcc_var_19,mfcc_var_20
Rock And Roll Hoochie Koo_clean.wav,-94.02369,146.90575,-53.49,52.38791,4.7887635,27.831106,-13.765748,17.388205,-3.0615115,2.0707953,-1.7019932,3.21475,1.1527995,-3.7557495,3.3096533,-0.7179028,1.216352,-0.78051305,0.8284966,1.6396691,61.8215,24.413689,20.49729,13.6556635,13.906323,11.319655,9.566967,9.490015,8.343071,9.306101,7.397713,6.8432074,6.6194158,6.924777,6.467763,6.319082,6.1295757,6.5869093,6.616365,6.750923,3821.898,596.0282,420.13892,186.47716,193.38583,128.1346,91.526855,90.06038,69.606834,86.60351,54.72616,46.829487,43.816666,47.952538,41.83196,39.930794,37.571697,43.387375,43.776287,45.574963
Rock n Roll_clean.wav,-83.150826,117.99257,-41.76694,71.99348,-11.040289,35.464012,-5.103962,17.974173,-3.9178717,11.422087,3.115611,5.052298,6.001911,-1.5687299,0.025954532,-2.1394415,2.6208901,-3.0736442,3.726611,-4.4282646,43.24425,18.188797,14.829798,14.261772,15.204971,10.872235,8.358298,8.774897,9.563932,7.9575653,7.6103745,7.192334,6.658034,6.3671074,6.463476,6.1573806,6.2090306,6.227796,6.7070103,7.0197344,1870.0654,330.83237,219.9229,203.39813,231.19116,118.2055,69.86115,76.99882,91.46881,63.32285,57.9178,51.72967,44.329414,40.540054,41.776524,37.913334,38.552063,38.785446,44.98399,49.276672
Saibo_clean.wav,-211.13744,135.62303,-3.5326567,27.612045,-11.0660305,21.154455,-25.537115,12.881772,-12.010424,-3.180192,-7.993331,-0.75022215,-7.5513525,-6.6055875,-1.9600097,-7.48404,-5.456295,-8.100929,0.69737196,-0.90646094,76.86941,26.378105,17.460552,20.5145,13.673007,12.332332,14.628239,10.228604,10.06568,12.495037,10.723815,11.303772,9.35354,9.402316,8.932793,8.98427,8.972176,9.050344,8.989581,10.497057,5908.9053,695.8044,304.8709,420.84467,186.95111,152.08641,213.98537,104.62435,101.31791,156.12595,115.00021,127.77525,87.48872,88.40356,79.794785,80.71712,80.49994,81.90873,80.81256,110.1882
Save the last dance for me_clean.wav,-189.72765,149.51834,-6.746614,24.872272,-13.396767,18.463099,-20.784773,8.094283,-6.159431,2.2347012,-8.739855,1.1098167,-2.4291842,-3.933895,-3.0561054,-2.0998538,-3.162347,-6.6651497,3.474992,-7.770871,69.8126,31.260662,20.774313,16.020758,16.116014,13.425649,11.582761,12.662207,10.441834,10.160717,10.124496,8.220315,8.680969,8.211809,8.421868,8.669168,7.9163604,7.720117,7.092695,8.239865,4873.799,977.22894,431.57205,256.6647,259.72592,180.24803,134.16035,160.33147,109.031906,103.24017,102.505424,67.573586,75.35923,67.43381,70.927864,75.15448,62.668762,59.600204,50.306324,67.895386
Scream & Shout_clean.wav,-177.72148,136.95401,-4.079225,37.71332,-7.151612,19.267305,-4.6860533,12.225632,-3.1387365,6.2461915,-1.3350272,3.8203835,2.0351038,1.2896173,1.6873221,-1.3075317,3.5118,-3.3828545,1.2215906,-2.9377763,97.262726,37.72225,27.520584,24.323593,19.891064,15.848912,13.817034,13.378851,10.274364,10.852049,9.508847,10.127773,8.121955,8.092578,8.158895,8.162686,7.3134766,7.0579453,8.064782,7.673935,9460.038,1422.9684,757.38257,591.63715,395.6544,251.18802,190.91043,178.99365,105.56256,117.76697,90.418175,102.57179,65.966156,65.48982,66.56756,66.629456,53.48694,49.81459,65.04071,58.889275
Shape of You_clean.wav,-145.04619,135.76288,-14.228372,36.46243,-4.987016,22.235762,-10.334534,1.9765308,-7.433249,-1.3411095,-8.976064,0.8123731,-0.18956201,0.5893678,2.453023,-2.9072914,-0.658115,-0.25222394,0.4653648,-5.5546546,127.99897,47.79713,28.22029,21.111366,19.735937,16.173264,12.723352,13.375165,11.751808,11.20019,10.010993,10.8604965,8.196248,7.8136935,7.7217646,7.912357,8.107837,7.7134523,7.812497,8.507309,16383.737,2284.5657,796.38477,445.68976,389.5072,261.57443,161.8837,178.89505,138.105,125.444244,100.219986,117.95038,67.17849,61.053806,59.62565,62.605392,65.73702,59.497345,61.035114,72.3743
Singin in the Rain_clean.wav,-325.40976,192.44798,-54.92613,24.883978,11.442939,-26.982063,8.283009,-13.328266,-14.853648,-0.6045633,-13.792696,-4.5148335,-3.949623,-8.924003,-0.045664407,-5.9958014,-5.285955,0.28470704,-5.672949,-2.632134,56.387684,21.807512,24.373484,16.343885,14.710155,9.544264,11.610824,11.938414,8.846136,8.491177,9.437882,8.235136,7.6339087,7.255987,7.6415505,6.819708,6.850475,6.636581,6.273711,6.2778974,3179.571,475.5676,594.0667,267.1226,216.38864,91.092964,134.81122,142.52573,78.25412,72.10008,89.07363,67.81747,58.27656,52.64935,58.393295,46.508415,46.929005,44.04421,39.35945,39.411995
Single Ladies_clean.wav,-122.9914,111.129456,-44.90221,43.70639,-15.58847,30.293684,-18.914707,27.269522,-7.119712,12.714722,0.4301363,11.190516,0.23182622,5.40299,4.163265,0.3023296,4.6277943,1.9062399,4.746538,-0.20974623,87.66953,25.415768,21.868073,16.864048,16.446571,12.371632,13.368454,11.177049,10.196464,11.32454,11.055598,9.4518585,9.013076,8.500213,8.326194,8.985771,8.622501,9.346317,9.230219,9.950494,7685.9473,645.96124,478.21262,284.3961,270.48972,153.05727,178.71556,124.92641,103.96787,128.24521,122.22626,89.33762,81.235535,72.25361,69.3255,80.74408,74.34753,87.35365,85.196945,99.01233
Smells Like Teen Spirit_clean.wav,-89.818665,131.87296,-53.604847,51.848923,-0.4029375,30.681517,-6.846665,18.872103,-8.56554,12.008605,2.529972,5.4334335,0.7205149,1.2769756,1.3472378,-5.564223,2.7210052,-0.9994235,2.1148462,-7.1592445,92.08034,29.9199,25.713537,19.842955,18.698431,13.457356,10.140111,10.4049635,9.479454,8.419578,7.466353,7.6588383,7.4650564,6.6669807,6.8344064,6.195299,6.268586,6.4181514,6.366367,5.882876,8478.788,895.2005,661.18604,393.74286,349.63132,181.10045,102.821846,108.26327,89.86005,70.88929,55.746426,58.657803,55.727066,44.44863,46.70911,38.381733,39.295174,41.192665,40.53063,34.60823
Someone Like You_clean.wav,-200.90558,164.60779,-9.445091,16.917978,-11.128139,15.872932,-12.206562,-5.166516,-2.256076,-6.8507175,-3.1443882,-2.1961694,-9.637984,-4.316544,-4.078402,-10.5427475,0.9501016,-1.2645355,-3.8990438,-0.62457985,84.06975,36.226143,31.848047,21.434513,17.2969,13.763902,13.775338,11.002077,10.810505,11.543151,10.426605,9.348901,8.434506,8.281447,8.554893,10.281238,9.12312,8.6608,10.294954,9.445285,7067.722,1312.3334,1014.2981,459.43832,299.18274,189.44499,189.75993,121.04569,116.86701,133.24432,108.7141,87.40194,71.1409,68.58237,73.18618,105.70384,83.23132,75.00945,105.98608,89.21341
